fish_code,trial_id,experiment_month,cohort_id,silvering_stage,trial_order,experimental_condition,water_medium,temperature_c,tl_used_cm,bw_used_g,swimming_speed_m_s,swimming_speed_tl_s,mo2_mg_o2_kg_h,cot_mg_o2_kg_km,is_lowflow_0_1_m_s,is_active_speed,is_uopt_speed,used_for_active_metrics,speed_step_status,table_s2_uopt_m_s,table_s2_mincot_mg_o2_kg_km,table_s2_mo2_at_uopt_mg_o2_kg_h,uopt_position_flag,active_metrics_status,source_raw_mo2_row,source_raw_cot_row,notes
Eel 16,E16SW18,2012-01,2011,Y2,1,SW18,Seawater,18,73.0,615,0.1,0.13698630136986303,61.19018093755778,169.97272482654935,True,False,False,False,lowflow_0.1_m_s,0.5,46.823101706710176,84.28158307207832,interior_minimum,valid,27,28,
Eel 16,E16SW18,2012-01,2011,Y2,1,SW18,Seawater,18,73.0,615,0.4,0.5479452054794521,85.22179116910156,59.18179942298719,False,True,False,True,active_measured,0.5,46.823101706710176,84.28158307207832,interior_minimum,valid,27,28,
Eel 16,E16SW18,2012-01,2011,Y2,1,SW18,Seawater,18,73.0,615,0.5,0.684931506849315,84.28158307207832,46.823101706710176,False,True,True,True,uopt_speed,0.5,46.823101706710176,84.28158307207832,interior_minimum,valid,27,28,Uopt/minCOT occurs at an interior observed active speed.
Eel 16,E16SW18,2012-01,2011,Y2,1,SW18,Seawater,18,73.0,615,0.6,0.821917808219178,118.1541127757293,54.70097813691171,False,True,False,True,active_measured,0.5,46.823101706710176,84.28158307207832,interior_minimum,valid,27,28,
Eel 16,E16SW18,2012-01,2011,Y2,1,SW18,Seawater,18,73.0,615,0.7,0.958904109589041,139.2846009311552,55.2716670361727,False,True,False,True,active_measured,0.5,46.823101706710176,84.28158307207832,interior_minimum,valid,27,28,
Eel 16,E16SW18,2012-01,2011,Y2,1,SW18,Seawater,18,73.0,615,0.8,1.0958904109589043,159.43361982855987,55.35889577380551,False,True,False,True,active_measured,0.5,46.823101706710176,84.28158307207832,interior_minimum,valid,27,28,
Eel 16,E16SW18,2012-01,2011,Y2,1,SW18,Seawater,18,73.0,615,0.9,1.2328767123287672,184.62005358553077,56.981498020225544,False,True,False,True,active_measured,0.5,46.823101706710176,84.28158307207832,interior_minimum,valid,27,28,
Eel 17,E17SW18,2012-01,2011,Y2,1,SW18,Seawater,18,70.0,529,0.1,0.14285714285714288,68.09807774634166,189.16132707317126,True,False,False,False,lowflow_0.1_m_s,0.5,58.75375228292684,105.75675410926831,interior_minimum,valid,28,29,
Eel 17,E17SW18,2012-01,2011,Y2,1,SW18,Seawater,18,70.0,529,0.4,0.5714285714285715,92.73835879024377,64.40163804878038,False,True,False,True,active_measured,0.5,58.75375228292684,105.75675410926831,interior_minimum,valid,28,29,
Eel 17,E17SW18,2012-01,2011,Y2,1,SW18,Seawater,18,70.0,529,0.5,0.7142857142857143,105.75675410926831,58.75375228292684,False,True,True,True,uopt_speed,0.5,58.75375228292684,105.75675410926831,interior_minimum,valid,28,29,Uopt/minCOT occurs at an interior observed active speed.
Eel 17,E17SW18,2012-01,2011,Y2,1,SW18,Seawater,18,70.0,529,0.6,0.8571428571428572,168.62379180878034,78.06657028184274,False,True,False,True,active_measured,0.5,58.75375228292684,105.75675410926831,interior_minimum,valid,28,29,
Eel 17,E17SW18,2012-01,2011,Y2,1,SW18,Seawater,18,70.0,529,0.7,1.0,195.13402494146314,77.434136881533,False,True,False,True,active_measured,0.5,58.75375228292684,105.75675410926831,interior_minimum,valid,28,29,
Eel 17,E17SW18,2012-01,2011,Y2,1,SW18,Seawater,18,70.0,529,0.8,1.142857142857143,201.90357160975597,70.10540680894304,False,True,False,True,active_measured,0.5,58.75375228292684,105.75675410926831,interior_minimum,valid,28,29,
Eel 18,E18SW18,2012-01,2011,S1,1,SW18,Seawater,18,78.5,825,0.1,0.12738853503184713,41.50051084276363,115.27919678545452,True,False,False,False,lowflow_0.1_m_s,0.4,55.228150101818116,79.5285361466181,lowest_active_speed,boundary_estimate,29,30,
Eel 18,E18SW18,2012-01,2011,S1,1,SW18,Seawater,18,78.5,825,0.4,0.5095541401273885,79.5285361466181,55.228150101818116,False,True,True,True,uopt_speed,0.4,55.228150101818116,79.5285361466181,lowest_active_speed,boundary_estimate,29,30,Uopt/minCOT occurs at lowest active speed; treated as boundary_estimate in Table S2.
Eel 18,E18SW18,2012-01,2011,S1,1,SW18,Seawater,18,78.5,825,0.5,0.6369426751592356,101.17513909527291,56.20841060848495,False,True,False,True,active_measured,0.4,55.228150101818116,79.5285361466181,lowest_active_speed,boundary_estimate,29,30,
Eel 18,E18SW18,2012-01,2011,S1,1,SW18,Seawater,18,78.5,825,0.6,0.7643312101910827,124.2192161280001,57.5088963555556,False,True,False,True,active_measured,0.4,55.228150101818116,79.5285361466181,lowest_active_speed,boundary_estimate,29,30,
Eel 18,E18SW18,2012-01,2011,S1,1,SW18,Seawater,18,78.5,825,0.7,0.8917197452229298,150.7040221418184,59.803183389610474,False,True,False,True,active_measured,0.4,55.228150101818116,79.5285361466181,lowest_active_speed,boundary_estimate,29,30,
Eel 18,E18SW18,2012-01,2011,S1,1,SW18,Seawater,18,78.5,825,0.8,1.019108280254777,168.91341449890928,58.6504911454546,False,True,False,True,active_measured,0.4,55.228150101818116,79.5285361466181,lowest_active_speed,boundary_estimate,29,30,
Eel 18,E18SW18,2012-01,2011,S1,1,SW18,Seawater,18,78.5,825,0.9,1.1464968152866242,206.65561532072766,63.782597321212236,False,True,False,True,active_measured,0.4,55.228150101818116,79.5285361466181,lowest_active_speed,boundary_estimate,29,30,
Eel 19,E19SW18,2012-01,2011,S1,1,SW18,Seawater,18,80.3,914,0.1,0.12453300124533002,49.57642077321668,137.71227992560188,True,False,False,False,lowflow_0.1_m_s,0.8,76.86257812294853,221.36422499409178,interior_minimum,valid,30,31,
Eel 19,E19SW18,2012-01,2011,S1,1,SW18,Seawater,18,80.3,914,0.4,0.4981320049813201,114.06014817794316,79.20843623468274,False,True,False,True,active_measured,0.8,76.86257812294853,221.36422499409178,interior_minimum,valid,30,31,
Eel 19,E19SW18,2012-01,2011,S1,1,SW18,Seawater,18,80.3,914,0.5,0.6226650062266501,200.14996841684888,111.19442689824938,False,True,False,True,active_measured,0.8,76.86257812294853,221.36422499409178,interior_minimum,valid,30,31,
Eel 19,E19SW18,2012-01,2011,S1,1,SW18,Seawater,18,80.3,914,0.6,0.7471980074719801,198.66878372954048,91.97628876367614,False,True,False,True,active_measured,0.8,76.86257812294853,221.36422499409178,interior_minimum,valid,30,31,
Eel 19,E19SW18,2012-01,2011,S1,1,SW18,Seawater,18,80.3,914,0.7,0.8717310087173101,199.24214704463913,79.06434406533299,False,True,False,True,active_measured,0.8,76.86257812294853,221.36422499409178,interior_minimum,valid,30,31,
Eel 19,E19SW18,2012-01,2011,S1,1,SW18,Seawater,18,80.3,914,0.8,0.9962640099626402,221.36422499409178,76.86257812294853,False,True,True,True,uopt_speed,0.8,76.86257812294853,221.36422499409178,interior_minimum,valid,30,31,Uopt/minCOT occurs at an interior observed active speed.
Eel 19,E19SW18,2012-01,2011,S1,1,SW18,Seawater,18,80.3,914,0.9,1.1207970112079702,251.65667203326046,77.67181235594458,False,True,False,True,active_measured,0.8,76.86257812294853,221.36422499409178,interior_minimum,valid,30,31,
Eel 20,E20SW18,2012-01,2011,S1,1,SW18,Seawater,18,77.5,747,0.1,0.12903225806451613,41.979622976024146,116.61006382228928,True,False,False,False,lowflow_0.1_m_s,0.6,45.2423744216867,97.72352875084327,interior_minimum,valid,31,32,
Eel 20,E20SW18,2012-01,2011,S1,1,SW18,Seawater,18,77.5,747,0.4,0.5161290322580645,69.85158281783127,48.50804362349393,False,True,False,True,active_measured,0.6,45.2423744216867,97.72352875084327,interior_minimum,valid,31,32,
Eel 20,E20SW18,2012-01,2011,S1,1,SW18,Seawater,18,77.5,747,0.5,0.6451612903225806,83.10076729590367,46.1670929421687,False,True,False,True,active_measured,0.6,45.2423744216867,97.72352875084327,interior_minimum,valid,31,32,
Eel 20,E20SW18,2012-01,2011,S1,1,SW18,Seawater,18,77.5,747,0.6,0.7741935483870968,97.72352875084327,45.2423744216867,False,True,True,True,uopt_speed,0.6,45.2423744216867,97.72352875084327,interior_minimum,valid,31,32,Uopt/minCOT occurs at an interior observed active speed.
Eel 20,E20SW18,2012-01,2011,S1,1,SW18,Seawater,18,77.5,747,0.7,0.9032258064516128,115.49404527831301,45.83097034853691,False,True,False,True,active_measured,0.6,45.2423744216867,97.72352875084327,interior_minimum,valid,31,32,
Eel 21,E21SW18,2012-01,2011,S1,1,SW18,Seawater,18,73.2,720,0.1,0.1366120218579235,42.235808149500045,117.32168930416678,True,False,False,False,lowflow_0.1_m_s,0.6,43.172180577662026,93.25191004774999,interior_minimum,valid,32,33,
Eel 21,E21SW18,2012-01,2011,S1,1,SW18,Seawater,18,73.2,720,0.4,0.546448087431694,78.45808632075014,54.48478216718759,False,True,False,True,active_measured,0.6,43.172180577662026,93.25191004774999,interior_minimum,valid,32,33,
Eel 21,E21SW18,2012-01,2011,S1,1,SW18,Seawater,18,73.2,720,0.5,0.6830601092896175,79.05097013625004,43.91720563125002,False,True,False,True,active_measured,0.6,43.172180577662026,93.25191004774999,interior_minimum,valid,32,33,
Eel 21,E21SW18,2012-01,2011,S1,1,SW18,Seawater,18,73.2,720,0.6,0.819672131147541,93.25191004774999,43.172180577662026,False,True,True,True,uopt_speed,0.6,43.172180577662026,93.25191004774999,interior_minimum,valid,32,33,Uopt/minCOT occurs at an interior observed active speed.
Eel 21,E21SW18,2012-01,2011,S1,1,SW18,Seawater,18,73.2,720,0.7,0.9562841530054644,157.36788973400013,62.44757529126989,False,True,False,True,active_measured,0.6,43.172180577662026,93.25191004774999,interior_minimum,valid,32,33,
Eel 21,E21SW18,2012-01,2011,S1,1,SW18,Seawater,18,73.2,720,0.8,1.092896174863388,157.42437831799984,54.661242471527714,False,True,False,True,active_measured,0.6,43.172180577662026,93.25191004774999,interior_minimum,valid,32,33,
Eel 21,E21SW18,2012-01,2011,S1,1,SW18,Seawater,18,73.2,720,0.9,1.2295081967213115,204.96786914649985,63.261688008178965,False,True,False,True,active_measured,0.6,43.172180577662026,93.25191004774999,interior_minimum,valid,32,33,
Eel 22,E22SW18,2012-01,2011,S1,1,SW18,Seawater,18,81.5,906,0.1,0.1226993865030675,46.113058422913916,128.09182895253863,True,False,False,False,lowflow_0.1_m_s,0.7,29.99588625291706,75.58963335735099,interior_minimum,valid,33,34,
Eel 22,E22SW18,2012-01,2011,S1,1,SW18,Seawater,18,81.5,906,0.4,0.49079754601227,69.9071031361588,48.54659940011027,False,True,False,True,active_measured,0.7,29.99588625291706,75.58963335735099,interior_minimum,valid,33,34,
Eel 22,E22SW18,2012-01,2011,S1,1,SW18,Seawater,18,81.5,906,0.5,0.6134969325153374,82.05400091125824,45.58555606181013,False,True,False,True,active_measured,0.7,29.99588625291706,75.58963335735099,interior_minimum,valid,33,34,
Eel 22,E22SW18,2012-01,2011,S1,1,SW18,Seawater,18,81.5,906,0.6,0.7361963190184049,85.16528879602672,39.428374442604955,False,True,False,True,active_measured,0.7,29.99588625291706,75.58963335735099,interior_minimum,valid,33,34,
Eel 22,E22SW18,2012-01,2011,S1,1,SW18,Seawater,18,81.5,906,0.7,0.8588957055214724,75.58963335735099,29.99588625291706,False,True,True,True,uopt_speed,0.7,29.99588625291706,75.58963335735099,interior_minimum,valid,33,34,Uopt/minCOT occurs at an interior observed active speed.
Eel 22,E22SW18,2012-01,2011,S1,1,SW18,Seawater,18,81.5,906,0.8,0.98159509202454,119.21205062463571,41.39307313355406,False,True,False,True,active_measured,0.7,29.99588625291706,75.58963335735099,interior_minimum,valid,33,34,
Eel 22,E22SW18,2012-01,2011,S1,1,SW18,Seawater,18,81.5,906,0.9,1.1042944785276074,130.6254365014568,40.316492747363206,False,True,False,True,active_measured,0.7,29.99588625291706,75.58963335735099,interior_minimum,valid,33,34,
Eel 22,E22SW18,2012-01,2011,S1,1,SW18,Seawater,18,81.5,906,1.0,1.2269938650306749,190.25561277297993,52.84878132582776,False,True,False,True,active_measured,0.7,29.99588625291706,75.58963335735099,interior_minimum,valid,33,34,
Eel 23,E23SW18,2012-01,2011,S1,1,SW18,Seawater,18,83.0,977,0.1,0.12048192771084339,74.89727671983626,208.04799088843401,True,False,False,False,lowflow_0.1_m_s,0.6,41.97459624701469,90.66512789355173,highest_observed_speed,boundary_estimate,34,35,
Eel 23,E23SW18,2012-01,2011,S1,1,SW18,Seawater,18,83.0,977,0.4,0.48192771084337355,78.30168946784033,54.37617324155578,False,True,False,True,active_measured,0.6,41.97459624701469,90.66512789355173,highest_observed_speed,boundary_estimate,34,35,
Eel 23,E23SW18,2012-01,2011,S1,1,SW18,Seawater,18,83.0,977,0.5,0.6024096385542169,88.99277178153541,49.44042876751967,False,True,False,True,active_measured,0.6,41.97459624701469,90.66512789355173,highest_observed_speed,boundary_estimate,34,35,
Eel 23,E23SW18,2012-01,2011,S1,1,SW18,Seawater,18,83.0,977,0.6,0.7228915662650602,90.66512789355173,41.97459624701469,False,True,True,True,uopt_speed,0.6,41.97459624701469,90.66512789355173,highest_observed_speed,boundary_estimate,34,35,Uopt/minCOT occurs at highest observed speed; treated as boundary_estimate in Table S2.
Eel 24,E24SW18,2012-01,2011,S1,1,SW18,Seawater,18,93.0,1366,0.1,0.10752688172043011,48.87688185645678,135.7691162679355,True,False,False,False,lowflow_0.1_m_s,0.5,40.82097654333827,73.47775777800888,interior_minimum,valid,35,36,
Eel 24,E24SW18,2012-01,2011,S1,1,SW18,Seawater,18,93.0,1366,0.4,0.43010752688172044,60.07749653345537,41.720483703788446,False,True,False,True,active_measured,0.5,40.82097654333827,73.47775777800888,interior_minimum,valid,35,36,
Eel 24,E24SW18,2012-01,2011,S1,1,SW18,Seawater,18,93.0,1366,0.5,0.5376344086021505,73.47775777800888,40.82097654333827,False,True,True,True,uopt_speed,0.5,40.82097654333827,73.47775777800888,interior_minimum,valid,35,36,Uopt/minCOT occurs at an interior observed active speed.
Eel 24,E24SW18,2012-01,2011,S1,1,SW18,Seawater,18,93.0,1366,0.6,0.6451612903225806,93.63141210603959,43.347875975018326,False,True,False,True,active_measured,0.5,40.82097654333827,73.47775777800888,interior_minimum,valid,35,36,
Eel 25,E25SW18,2012-01,2011,S1,1,SW18,Seawater,18,91.0,1060,0.1,0.10989010989010989,47.073320367622586,130.75922324339606,True,False,False,False,lowflow_0.1_m_s,0.4,50.45382049457544,72.65350151218864,lowest_active_speed,boundary_estimate,36,37,
Eel 25,E25SW18,2012-01,2011,S1,1,SW18,Seawater,18,91.0,1060,0.4,0.43956043956043955,72.65350151218864,50.45382049457544,False,True,True,True,uopt_speed,0.4,50.45382049457544,72.65350151218864,lowest_active_speed,boundary_estimate,36,37,Uopt/minCOT occurs at lowest active speed; treated as boundary_estimate in Table S2.
Eel 25,E25SW18,2012-01,2011,S1,1,SW18,Seawater,18,91.0,1060,0.5,0.5494505494505494,91.64326893464143,50.912927185911904,False,True,False,True,active_measured,0.4,50.45382049457544,72.65350151218864,lowest_active_speed,boundary_estimate,36,37,
Eel 25,E25SW18,2012-01,2011,S1,1,SW18,Seawater,18,91.0,1060,0.6,0.6593406593406593,110.78518657924532,51.28943823113209,False,True,False,True,active_measured,0.4,50.45382049457544,72.65350151218864,lowest_active_speed,boundary_estimate,36,37,
