fish_code,trial_id,experiment_month,cohort_id,silvering_stage,trial_order,experimental_condition,water_medium,temperature_c,salinity_psu,tl_used_cm,bw_used_g,initial_lab_holding_condition,initial_lab_holding_days_approx,previous_trial_condition,inter_trial_interval_days,final_pretrial_condition,final_pretrial_period_days,fasting_duration_days,fasting_note,uf_reconstructed_m_s,tf_reconstructed_min,ucrit_m_s,ucrit_tl_s,uopt_m_s,uopt_tl_s,mincot_mg_o2_kg_km,mo2_at_uopt_mg_o2_kg_h,mo2_at_0_1_m_s_mg_o2_kg_h,n_active_speed_steps,uopt_position_flag,ucrit_status,active_metrics_status,lowflow_mo2_status,missing_or_exclusion_reason,notes
Eel 3,E03FW18,2012-10,2012,Y1,2,FW18,Freshwater,18,-,53.5,183,FW25,~1 month,FW25,14,FW18,14,17,Fasting started 3 days before the preceding FW25 trial and continued throughout the FW25-to-FW18 transition/acclimation period until the FW18 trial; fasting_duration_days = 3 + inter_trial_interval_days.,0.4,0.0,0.4,0.747664,,,,,30.85,0,not_estimable,boundary_ambiguous,not_estimable,valid,No valid active-speed MO2/COT values (>=0.4 m s-1).,Ucrit equals a 0.1 m s-1 speed-step boundary; reconstructed Uf/tf are ambiguous.; Original Uopt&Ucrit Uopt value was <0.4.
Eel 4,E04FW18,2012-09,2012,Y1,2,FW18,Freshwater,18,-,56.3,211,FW25,~1 month,FW25,3,FW18,3,6,Fasting started 3 days before the preceding FW25 trial and continued throughout the FW25-to-FW18 transition/acclimation period until the FW18 trial; fasting_duration_days = 3 + inter_trial_interval_days.,0.3,24.0,0.32,0.568384,,,,,39.12518598824654,0,not_estimable,protocol_check,not_estimable,valid,No valid active-speed MO2/COT values (>=0.4 m s-1).,Ucrit below 0.4 m s-1; Uf/tf reconstructed assuming previous complete speed of 0.3 m s-1.; Original Uopt&Ucrit Uopt value was <0.4.
Eel 5,E05FW18,2012-09,2012,Y1,2,FW18,Freshwater,18,-,56.8,204,FW25,~1 month,FW25,3,FW18,3,6,Fasting started 3 days before the preceding FW25 trial and continued throughout the FW25-to-FW18 transition/acclimation period until the FW18 trial; fasting_duration_days = 3 + inter_trial_interval_days.,1.0,39.96,1.0333,1.81919,0.8,1.408451,14.553563677083371,41.914263390000116,50.83442420911798,7,interior_minimum,valid,valid,valid,,
Eel 6,E06FW18,2012-10,2012,Y2,2,FW18,Freshwater,18,-,62.7,347,FW25,~1 month,FW25,14,FW18,14,17,Fasting started 3 days before the preceding FW25 trial and continued throughout the FW25-to-FW18 transition/acclimation period until the FW18 trial; fasting_duration_days = 3 + inter_trial_interval_days.,0.3,24.0,0.32,0.510367,,,,,29.44,0,not_estimable,protocol_check,not_estimable,valid,No valid active-speed MO2/COT values (>=0.4 m s-1).,Ucrit below 0.4 m s-1; Uf/tf reconstructed assuming previous complete speed of 0.3 m s-1.; Original Uopt&Ucrit Uopt value was <0.4.
Eel 7,E07FW18,2012-10,2012,Y2,2,FW18,Freshwater,18,-,70.3,570,FW25,~1 month,FW25,14,FW18,14,17,Fasting started 3 days before the preceding FW25 trial and continued throughout the FW25-to-FW18 transition/acclimation period until the FW18 trial; fasting_duration_days = 3 + inter_trial_interval_days.,0.3,48.0,0.34,0.483642,,,,,24.35,0,not_estimable,protocol_check,not_estimable,valid,No valid active-speed MO2/COT values (>=0.4 m s-1).,Ucrit below 0.4 m s-1; Uf/tf reconstructed assuming previous complete speed of 0.3 m s-1.; Original Uopt&Ucrit Uopt value was <0.4.
Eel 8,E08FW18,2012-10,2012,Y2,2,FW18,Freshwater,18,-,66.8,310,FW25,~1 month,FW25,14,FW18,14,17,Fasting started 3 days before the preceding FW25 trial and continued throughout the FW25-to-FW18 transition/acclimation period until the FW18 trial; fasting_duration_days = 3 + inter_trial_interval_days.,0.4,36.0,0.43,0.643713,0.4,0.598802,23.888888888888886,34.4,36.53,1,single_active_point,valid,single_active_point,valid,,Only one valid active-speed MO2/COT point was available.; Original Uopt&Ucrit Uopt value was <0.4.
Eel 9,E09FW18,2012-09,2012,Y2,2,FW18,Freshwater,18,-,65.3,440,FW25,~1 month,FW25,3,FW18,3,6,Fasting started 3 days before the preceding FW25 trial and continued throughout the FW25-to-FW18 transition/acclimation period until the FW18 trial; fasting_duration_days = 3 + inter_trial_interval_days.,0.3,24.0,0.32,0.490046,,,,,30.35523773999966,0,not_estimable,protocol_check,not_estimable,valid,No valid active-speed MO2/COT values (>=0.4 m s-1).,Ucrit below 0.4 m s-1; Uf/tf reconstructed assuming previous complete speed of 0.3 m s-1.; Original Uopt&Ucrit Uopt value was <0.4.
Eel 10,E10FW18,2012-09,2012,Y2,2,FW18,Freshwater,18,-,69.3,414,FW25,~1 month,FW25,3,FW18,3,6,Fasting started 3 days before the preceding FW25 trial and continued throughout the FW25-to-FW18 transition/acclimation period until the FW18 trial; fasting_duration_days = 3 + inter_trial_interval_days.,0.9,21.0,0.9175,1.323954,0.7,1.010101,14.009545118012397,35.30405369739124,38.97825800869543,6,interior_minimum,valid,valid,valid,,
Eel 11,E11SW18,2012-01,2011,Y2,1,SW18,Seawater,18,-,81.0,857,SW18,~1 month,none,none,SW18,3,3,Fasted during the final 3 days before the SW18 trial,,,,,,,,,,0,not_estimable,not_estimable,not_estimable,not_estimable,Ucrit missing in source Uopt&Ucrit sheet.; No valid active-speed MO2/COT values (>=0.4 m s-1).; Low-flow MO2 at 0.1 m s-1 missing.,Original Uopt&Ucrit Uopt value was <0.4.
Eel 12,E12SW18,2012-01,2011,Y2,1,SW18,Seawater,18,-,75.4,713,SW18,~1 month,none,none,SW18,3,3,Fasted during the final 3 days before the SW18 trial,0.8,60.0,0.8500000000000001,1.127321,0.5,0.66313,54.324749207966356,97.78454857433944,41.65297425795253,5,interior_minimum,valid,valid,valid,,Original Uopt&Ucrit Uopt value was 0.66; Table S2 uses observed COT-minimum speed.
