comparison,comparison_description,response_variable,analysis_set,group_1,group_2,estimate_definition,n_group_1,n_group_2,n_pairs,mean_group_1,sd_group_1,median_group_1,mean_group_2,sd_group_2,median_group_2,estimate_difference,ci_lower,ci_upper,confidence_level,ci_method,ci_status,test_method,p_value,n_excluded_from_population,exclusion_reason_summary,notes,p_value_fdr,zero_retained_by_permutation_test,zero_inside_reported_interval
FW25_vs_FW18_paired,Sequential FW25 and FW18 trials in the same yellow eels; estimate = FW25 - FW18.,ucrit_m_s,main,FW25,FW18,group_1_minus_group_2,10,10,10.0,0.68625,0.31141087988557997,0.56,0.52308,0.2701415834541419,0.405,0.16316999999999998,-0.090825,0.4475,0.95,inversion of the exact paired sign-flip permutation test,finite,exact paired sign-flip permutation test,0.232421875,0,,"Fixed trial order; interpret as temperature-associated difference, not isolated temperature effect.",0.26171875,True,True
Y2_FW18_vs_Y2_SW18_independent,Exploratory Y2 freshwater-seawater comparison at 18 C; estimate = SW18 - FW18.,ucrit_m_s,main,Y2_FW18,Y2_SW18,group_2_minus_group_1,5,6,,0.4655,0.2567367328607264,0.34,0.795138888888889,0.15474927451514267,0.8375000000000001,0.3296388888888889,0.040277777777777884,0.5802777777777779,0.95,inversion of the exact two-sample label-permutation test under an additive location-shift framework,finite,exact two-sample label-permutation test,0.04112554112554113,1,not_estimable:1; missing_value:1,Exploratory salinity-associated comparison; independent groups with differences in cohort/history and fasting duration.,0.061688311688311695,False,False
SW18_Y2_vs_SW18_S1_independent,Stage-associated comparison under SW18; estimate = S1 - Y2.,ucrit_m_s,main,SW18_Y2,SW18_S1,group_2_minus_group_1,6,8,,0.795138888888889,0.15474927451514267,0.8375000000000001,0.7947916666666667,0.16438542953815719,0.8125,-0.0003472222222222765,-0.18888888888888886,0.19020833333333334,0.95,inversion of the exact two-sample label-permutation test under an additive location-shift framework,finite,exact two-sample label-permutation test,1.0,1,not_estimable:1; missing_value:1,Stage-associated comparison; interpret cautiously because silvering stage and body size may be confounded.,1.0,True,True
FW25_vs_FW18_paired,Sequential FW25 and FW18 trials in the same yellow eels; estimate = FW25 - FW18.,ucrit_tl_s,main,FW25,FW18,group_1_minus_group_2,10,10,10.0,1.0941375,0.38722116632868153,0.95657,0.8611117,0.45290295378518397,0.6956884999999999,0.23302579999999998,-0.1663447500000001,0.65919675,0.95,inversion of the exact paired sign-flip permutation test,finite,exact paired sign-flip permutation test,0.26171875,0,,"Fixed trial order; interpret as temperature-associated difference, not isolated temperature effect.",0.26171875,True,True
Y2_FW18_vs_Y2_SW18_independent,Exploratory Y2 freshwater-seawater comparison at 18 C; estimate = SW18 - FW18.,ucrit_tl_s,main,Y2_FW18,Y2_SW18,group_2_minus_group_1,5,6,,0.6903444000000001,0.3601641321665721,0.510367,1.0573808333333334,0.23218696666300348,1.108734,0.36703643333333336,-0.04357918518518513,0.7324693333333334,0.95,inversion of the exact two-sample label-permutation test under an additive location-shift framework,finite,exact two-sample label-permutation test,0.0735930735930736,1,not_estimable:1; missing_value:1,Exploratory salinity-associated comparison; independent groups with differences in cohort/history and fasting duration.,0.0735930735930736,True,True
SW18_Y2_vs_SW18_S1_independent,Stage-associated comparison under SW18; estimate = S1 - Y2.,ucrit_tl_s,main,SW18_Y2,SW18_S1,group_2_minus_group_1,6,8,,1.0573808333333334,0.23218696666300348,1.108734,0.9805044999999999,0.2512297037431226,1.0333295,-0.07687633333333355,-0.3681244,0.2133177407407407,0.95,inversion of the exact two-sample label-permutation test under an additive location-shift framework,finite,exact two-sample label-permutation test,0.5631035631035631,1,not_estimable:1; missing_value:1,Stage-associated comparison; interpret cautiously because silvering stage and body size may be confounded.,0.8446553446553446,True,True
FW25_vs_FW18_paired,Sequential FW25 and FW18 trials in the same yellow eels; estimate = FW25 - FW18.,uopt_m_s,main_valid_plus_boundary,FW25,FW18,group_1_minus_group_2,3,3,3.0,0.6,0.09999999999999998,0.6,0.6666666666666666,0.1527525231651947,0.7,-0.0666666666666667,-inf,inf,0.95,inversion of the exact paired sign-flip permutation test,unbounded_both_sides,exact paired sign-flip permutation test,1.0,9,not_estimable:7; single_active_point:2; missing_value:7,"Fixed trial order; interpret as temperature-associated difference, not isolated temperature effect.",1.0,True,True
Y2_FW18_vs_Y2_SW18_independent,Exploratory Y2 freshwater-seawater comparison at 18 C; estimate = SW18 - FW18.,uopt_m_s,main_valid_plus_boundary,Y2_FW18,Y2_SW18,group_2_minus_group_1,1,6,,0.7,,0.7,0.48333333333333334,0.07527726527090808,0.5,-0.21666666666666662,-inf,inf,0.95,inversion of the exact two-sample label-permutation test under an additive location-shift framework,unbounded_both_sides,exact two-sample label-permutation test,0.14285714285714285,5,not_estimable:4; single_active_point:1; missing_value:4,Exploratory salinity-associated comparison; independent groups with differences in cohort/history and fasting duration.,0.14285714285714285,True,True
SW18_Y2_vs_SW18_S1_independent,Stage-associated comparison under SW18; estimate = S1 - Y2.,uopt_m_s,main_valid_plus_boundary,SW18_Y2,SW18_S1,group_2_minus_group_1,6,8,,0.48333333333333334,0.07527726527090808,0.5,0.575,0.13887301496588272,0.6,0.09166666666666662,-0.04444444444444457,0.23076923076923042,0.95,inversion of the exact two-sample label-permutation test under an additive location-shift framework,finite,exact two-sample label-permutation test,0.1968031968031968,1,not_estimable:1; missing_value:1,Stage-associated comparison; interpret cautiously because silvering stage and body size may be confounded.,0.7476967476967477,True,True
FW25_vs_FW18_paired,Sequential FW25 and FW18 trials in the same yellow eels; estimate = FW25 - FW18.,uopt_m_s,sensitivity_valid_only,FW25,FW18,group_1_minus_group_2,1,1,1.0,0.7,,0.7,0.7,,0.7,0.0,-inf,inf,0.95,inversion of the exact paired sign-flip permutation test,unbounded_both_sides,exact paired sign-flip permutation test,1.0,15,not_estimable:7; boundary_estimate:6; single_active_point:2; missing_value:7,"Fixed trial order; interpret as temperature-associated difference, not isolated temperature effect.",1.0,True,True
